book_id,title,author,author_last_first,additional_Authors,isbn,isbn13,my_rating,publisher,binding,number_of_pages,year_published,original_publication_year,date_read,date_added,bookshelves,bookshelves_with_positions,read_status,my_review,spoiler,private_notes,read_count,owned_copies
25363212,Becoming Unbecoming,Una,"Una, Una",,"=""1908434694""","=""9781908434692""",5,Myriad Editions,Paperback,208,2015,2015,2018/06/10,2018/04/21,,,read,,,,1,0
26025989,The Princess Diarist,Carrie Fisher,"Fisher, Carrie",,"=""0399173595""","=""9780399173592""",3,Blue Rider Press,Hardcover,257,2016,2016,2018/05/24,2016/12/26,,,read,,,,1,0
33830160,The Left Hand of Darkness,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""1473221625""","=""9781473221628""",4,Gollancz,Paperback,304,2017,1969,2018/05/14,2018/04/30,,,read,,,,1,0
24874337,How a Ghastly Story Was Brought to Light by a Common or Garden Butcher's Dog,Johann Peter Hebel,"Hebel, Johann Peter","John Hibberd, Nicholas Jacobs","=""0141398027""","=""9780141398020""",3,Penguin Classics,Paperback,54,2015,1811,2018/04/27,2018/04/26,,,read,,,,1,0
24702371,Of Street Piemen,Henry Mayhew,"Mayhew, Henry",,"=""0141980249""","=""9780141980249""",3,Penguin Classics,Paperback,64,2015,2015,2018/04/17,2015/05/29,,,read,,,,1,0
24874306,The Steel Flea,Nikolai Leskov,"Leskov, Nikolai",,"=""014139739X""","=""9780141397399""",3,Penguin Classics,Paperback,64,2015,1881,2018/04/12,2015/05/29,,,read,,,,1,0
35008865,Reader I Married Him,Tracy Chevalier,"Chevalier, Tracy",,"=""0008150605""","=""9780008150600""",3,The Borough Press,Paperback,307,2017,2016,2018/04/03,2018/03/08,,,read,,,,1,0
24909347,"Obsidio (The Illuminae Files, #3)",Amie Kaufman,"Kaufman, Amie",Jay Kristoff,"=""055349919X""","=""9780553499193""",5,Knopf Books for Young Readers,Hardcover,618,2018,2018,2018/03/27,2017/08/08,,,read,,,,1,0
30197201,A Quiet Kind of Thunder,Sara  Barnard,"Barnard, Sara",,"=""1509810986""","=""9781509810987""",4,Macmillan Children's Books,Paperback,307,2017,2017,2018/03/24,2018/03/16,,,read,,,,1,0
13516154,The Song of Achilles,Madeline Miller,"Miller, Madeline",,"=""""","=""""",3,Bloomsbury Publishing,Paperback,352,2012,2011,2018/03/07,2018/02/23,,,read,,,,1,0
32200595,"A Conjuring of Light (Shades of Magic, #3)",V.E. Schwab,"Schwab, V.E.",,"=""""","=""""",5,TITAN PUBLISHING GROUP,Paperback,666,2017,2017,2018/02/20,2017/02/25,,,read,,,,1,0
24874309,"Remember, Body...",Constantinos P. Cavafy,"Cavafy, Constantinos P.",,"=""0141397462""","=""9780141397467""",4,Penguin Classics,Paperback,54,2015,1933,2018/02/18,2018/01/10,,,read,,,,1,0
28488649,The Melancholy of Resistance,László Krasznahorkai,"Krasznahorkai, László",George Szirtes,"=""1781256241""","=""9781781256244""",3,Tuskar Rock,Paperback,321,2016,1989,2018/01/28,2018/01/15,,,read,,,,1,0
33871762,The Power,Naomi Alderman,"Alderman, Naomi",,"=""0670919969""","=""9780670919963""",4,Penguin Books,Paperback,351,2017,2016,2018/01/12,2017/08/10,,,read,"It starts in girls around the age of fourteen. Soon all young girls are born with it. The younger women are able to pass it on to older women who feel like they had it the whole time, but it was hiding somewhere forgotten. All the women of the world quickly learn they have Power - and they're going to use it.<br/><br/>When you read the premise of all women gaining an electrical discharge superpower, you'd be forgiven for thinking it describes a sci-fi or graphic novel. However, The Power is a meticulous piece of literary speculative fiction examining how a small advantage of one gender over the other will over time lead to a gaping chasm of power, authority, respect, expectation, and societal standing between the two sides of the gender binary.<br/><br/>The book is presented as a novel inside a novel - written by a male author in the distant post-Cataclysm future, set in today's time. It follows a small group of characters in the decade after women gain their power, and before the Cataclysm: an apocalyptic event wherein almost all history of the patriarchal societies we know today is wiped out (an event we only know of from the fictional author's writing outside the main narrative).<br/><br/>The book does two things: it shows how there is nothing integral in men or women that leads to the power split, and it explores how the perceived difference in power snowballs through history to build vast inequalities in our society. It does this by introducing a small fantastical element to start the ball rolling in the opposite direction of what we know.<br/><br/>It's an unsettling read. As a female reader it begins as a triumph - seeing the women of the world begin to seize back power. Then there are a few individuals who go too far, but you can reason that they are a minority. It's impossible to detect when the scale of power and privilege tips past equality until you're too deep into the horrors. Until you identify with the male character afraid to walk alone at night - that's a fear you know. Intimately.<br/><br/>The Power is only interested in the gender binary. If you're looking for more nuance in the discussion of gender (or even a mention of a person elsewhere on the gender spectrum) you will be disappointed. It's also a bit lacking in its approach to the uprising of women in the Middle East.<br/><br/>But, ultimately, a fantastic critique of how we allow our modern expectations to corrupt our interpretation of history, and an essential read in a time when women are standing up and speaking out. 4⭐️",,,1,0
25648276,Unboxed,Non Pratt,"Pratt, Non",,"=""1781125856""","=""9781781125854""",4,Barrington Stoke,Paperback,140,2016,2016,2018/01/14,2018/01/14,,,read,,,,1,0
24874356,A Pair of Silk Stockings,Kate Chopin,"Chopin, Kate",,"=""0141398531""","=""9780141398532""",4,Penguin Classics,Paperback,64,2015,1897,2018/01/07,2018/01/03,,,read,"An excellent collection of five short stories. Each is simple and succinct, seemingly with not much to them. But they each have a certain <i>je ne sais quois</i> and pull at some unseen thread of thought at the back of your head. I am interested in finding more by the author.",,,1,0
36475759,"The City of Brass (The Daevabad Trilogy, #1)",S.A. Chakraborty,"Chakraborty, S.A.",,"=""0008239398""","=""9780008239398""",5,HarperVoyager,Hardcover,532,2018,2017,2018/01/06,2018/01/03,,,read,I will maybe/probably come back and write a more coherent review but I just need to let you all know that I have had to pace around and run up and down the stairs trying to get some adrenaline out my system this book was THAT GOOD. ,,,1,0
